WEIGHT	S11	S13	Q1A	Q1C_1	Q1C_2	Q1C_3	Q1C_4	Q1C_5	Q1C_6	Q1C_7	Q1C_8	Q1C_9	Q1C_10	Q1C_11	Q1C_12	Q1D_1	Q1D_2	Q1D_3	Q1D_4	Q1D_5	Q1D_6	Q1D_7	Q1D_8	Q1D_9	Q1D_10	Q1D_11	Q1D_12	Q2A	Q2B_1	Q2B_2	Q2B_3	Q2B_4	Q2B_5	Q2C_1	Q2C_2	Q2C_3	Q2C_4	Q2C_5	Q3_A	Q3_B	Q3_C	Q3_D	Q3_E	Q3_F	Q3_G	Q3_H	Q3_I	Q3_J	Q3_K	Q3_L	Q3_M	Q3_N	Q3_O	Q4A_1	Q4A_2	Q4A_3	Q4A_4	Q4B_1	Q4B_2	Q4B_3	Q4B_4	Q4B_5	Q4B_6	Q4B_7	Q4B_8	Q4B_9	Q4B_10	Q4B_11	Q4B_12	Q4B_13	Q4B_14	Q4C	Q5A	Q5B_1	Q5B_2	Q5B_3	Q5B_4	Q5B_5	Q5B_6	Q5B_7	Q5B_8	Q5B_9	Q5B_10	Q5B_11	Q5C_1	Q5C_2	Q5C_3	Q5C_4	Q5C_5	Q5C_6	Q5C_7	Q5C_8	Q5C_9	Q5C_10	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6B_A	Q6B_B	Q6B_C	Q6B_D	Q6B_E	Q6B_F	Q6B_G	Q6B_H	Q6B_I	Q6C_1	Q6C_2	Q6C_3	Q6C_4	Q6C_5	Q6C_6	Q6C_7	Q6D_1	Q6D_2	Q6D_3	Q6D_4	Q6D_5	Q6D_6	Q6D_7	Q6E_1	Q6E_2	Q6E_3	Q6E_4	Q6E_5	Q6E_6	Q6E_7	Q6F	Q6H	Q6J_1	Q6J_2	Q6J_3	Q6J_4	Q6J_5	Q6J_6	Q6J_7	Q6J_8	Q6J_9	Q6J_10	Q6J_11	Q7A	Q7B	Q7C_1	Q7C_2	Q7C_3	Q7C_4	Q7C_5	Q7C_6	Q7C_7	Q7C_8	Q7C_9	Q7C_10	Q7C_11	Q7C_12	Q7C_13	Q7C_14	Q7C_15	Q7C_16	Q7C_17	Q7C_18	Q7C_19	Q7C_20	Q7C_21	Q7C_22	Q7C_23	Q7C_24	Q7C_25	Q7C_26	Q7C_27	Q7C_28	Q8A_1	Q8A_2	Q8A_3	Q8A_4	Q8A_5	Q8A_6	Q8A_7	Q8A_8	Q8A_9	Q8A_10	Q8A_11	Q8B_1	Q8B_2	Q8B_3	Q8B_4	Q8B_5	Q8B_6	Q8B_7	Q8B_8	Q8B_9	Q8B_10	Q9A_1	Q9A_2	Q9A_3	Q9A_4	Q9A_5	Q9A_6	Q9A_7	Q9A_8	Q9A_9	Q9B_1	Q9B_2	Q9B_3	Q9B_4	Q9B_5	Q9B_6	Q9B_7	Q9B_8	Q9B_9	Q10_1	Q10_2	Q10_3	Q10_4	Q11A	P1A	P1B_1	P1B_2	P1B_3	P1B_4	P1B_5	P1B_6	P1B_7	P1B_8	P1B_9	P1B_10	P1B_11	P1B_12	P1B_13	P1B_14	P1B_15	P1B_16	P1B_17	P1B_18	P1B_19	P1B_20	P1B_21	P1B_22	P1D	P1E	P1F	P1G	P1H	P1I_1	P1I_2	P1I_3	P1I_4	P1I_5	P1I_6	P1J	P1K	P1L	P1M	P2A	P2B	P2C	P2D	P2E	P2F	P2G	P2H	P2J	P2L_1	P2L_2	P2L_3	P2L_4	P2L_5	P2L_6	P2L_7	P2L_8	P2L_9	P2L_10	P2L_11	P2L_12	P2M_1	P2M_2	P2M_3	P2M_4	P2M_5	P2M_6	P2M_7	P2M_8	P2M_9	P2M_10	P2M_11	P2M_12	P2M_13	P2N	P2O	P3A	P3B_1	P3B_2	P3B_3	P3B_4	P3B_5	P3B_6	P3B_7	P3B_8	P3B_9	P3B_10	P3B_11	P3B_12	P3B_13	P3B_14	P3B_15	P3B_16	P3B_17	P4A	P4B	P4C	P4D	P5A	P5B	P6A	P6B	P7A	P7B	P8A	P8B	P9A	P9B	P10A	P10B	P10C_1	P10C_2	P10C_3	P10D	F1	F2	F4	F5	F6	F7_1	F7_2	F7_3	F7_4	F7_5	F7_6	F7_7	F8	F9_1	F9_2	F9_3	F9_4	F9_5	F9_6	F9_7	F9_8	F9_9	F9_10	F9_11	F9_12	F9_13	F9_14	F10	F11	F12A	F12B	F13	F14	F15	F16_1	F16_2	F16_3	F16_4	F17	F18	F19_1	F19_2	F19_3	F19_4	F19_5	F19_6	F19_7	F19_8	F19_9	F19_10	F19_11	F19_12	F19_13	F19_14	F19_15	F19_16	F19_17	F19_18	F19_19	F19_20	F19_21	F20	F21	F22
9	5	1	2	2	2	2	1	2	1	1	3	1	3	3	2	6	3	3	3	3	3	3	NA	3	NA	NA	3	2	2	2	2	2	2	1	2	1	1	2	2	2	2	1	3	2	1	2	1	1	1	1	3	2	2	4	4	4	4	3	3	3	2	2	3	1	3	2	1	1	3	1	2	5	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	3	3	4	3	3	2	3	2	2	2	3	2	2	2	1	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	3	2	1	2	1	2	2	1	2	1	1	3	2	2	1	1	1	1	2	2	2	2	2	1	3	2	1	2	1	1	3	2	1	2	1	1	2	3	2	2	3	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	1	1	2	1	2	2	1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	2	2	3	2	2	3	3	4	3	4	4	3	4	4	1	3	3	4	4	3	3	4	3	5	3	2	2	2	1	3	2	2	3	1	2	2	2	2	3	1	1	3	1	2	2	1	2	2	1	3	3	3	3	3	3	2	2	2	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	NA	3	2	3	2	1	NA	3	3	1	1	2	2	2	1	1	2	2	3	1	3	3	3	3	2	2	2	2	1	1	1	3	2	3	3	3	3	3	3	3	3	3	5	1	1	6	2	3	5	1	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9
12	5	1	2	2	1	2	2	1	1	1	2	1	2	2	2	3	4	4	4	4	4	4	4	4	4	3	3	3	1	1	2	1	1	2	2	2	2	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	4	3	3	3	3	3	3	3	2	3	2	2	3	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	2	2	2	3	3	2	2	2	2	3	2	2	2	3	3	2	2	2	3	3	2	2	2	2	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	2	1	1	1	3	2	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	2	1	2	1	1	1	2	2	2	1	2	1	2	3	2	3	3	4	4	3	4	3	4	3	4	3	4	4	3	4	3	4	3	2	4	2	2	2	1	3	2	1	2	1	2	2	1	2	1	2	1	2	2	2	2	1	1	1	2	3	3	3	3	3	3	3	2	3	3	3	2	2	2	3	3	3	2	2	2	2	3	3	3	2	2	2	3	3	3	2	3	2	3	3	3	3	2	2	2	3	2	3	2	2	1	2	1	1	2	NA	2	NA	2	NA	2	NA	3	3	1	1	2	2	2	2	1	NA	2	2	1	2	3	3	3	1	3	2	2	1	1	1	2	2	3	3	3	3	3	1	3	3	2	3	4	2	2	1	1	6	0	0	1	0	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9
11	5	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	3	1	3	2	3	1	2	4	4	3	4	3	3	3	3	2	3	3	3	3	3	3	3	3	3	1	2	1	1	2	2	2	1	2	2	2	2	2	1	2	1	2	2	2	1	3	3	1	2	2	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	NA	2	1	2	1	2	2	2	1	2	2	2	3	2	1	1	2	1	1	1	2	2	2	2	1	2	2	1	2	1	1	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	1	3	3	3	2	3	3	1	4	3	2	3	3	3	1	3	1	2	2	1	4	1	1	1	2	1	1	2	1	2	1	2	2	2	2	2	1	1	1	2	3	1	3	2	2	2	3	3	3	3	3	2	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	3	1	3	2	3	1	1	3	3	1	1	1	1	2	2	1	1	1	2	2	1	NA	1	NA	1	NA	1	NA	3	3	1	1	1	1	2	2	1	2	1	2	1	3	3	3	3	3	3	3	1	1	3	1	1	3	3	3	3	3	3	3	3	3	3	3	2	2	1	2	7	6	0	0	1	0	7	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	9
12	5	1	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	2	2	2	2	2	2	1	2	3	3	1	1	1	1	1	1	2	1	1	3	4	4	3	4	3	3	3	1	3	3	3	3	3	1	1	3	3	2	1	2	2	1	2	2	2	1	2	1	2	2	2	2	2	1	2	1	2	1	1	1	1	2	2	4	3	3	3	3	2	2	2	1	2	3	3	1	1	1	3	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	NA	1	2	2	2	1	2	3	1	2	2	1	4	2	1	1	2	1	1	2	2	2	1	1	1	1	2	1	2	1	1	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	4	1	1	2	1	1	1	1	1	2	1	2	1	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	1	2	2	1	2	1	2	1	1	1	1	1	1	3	2	1	4	2	2	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	NA	2	2	2	3	1	3	1	2	2	2	2	1	2	3	1	3	3	3	2	3	2	3	3	3	2	2	2	2	2	2	2	1	2	2	1	2	NA	2	NA	2	NA	2	NA	3	3	1	2	2	2	2	1	1	1	1	2	1	3	3	3	3	3	3	1	2	3	2	1	3	1	3	3	3	3	3	3	3	3	3	5	2	2	2	2	2	6	0	0	1	0	5	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	9
7	2	4	3	3	3	3	3	4	4	4	3	4	3	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	1	3	1	3	1	2	3	3	3	3	3	4	2	1	2	2	2	2	1	3	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	3	3	1	1	3	3	3	3	3	2	2	1	1	2	2	1	3	2	2	2	3	3	2	2	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	1	1	2	1	1	2	1	1	3	2	3	1	1	2	2	1	1	1	1	1	1	1	3	1	3	1	2	3	1	2	1	2	2	2	3	2	1	2	2	3	2	2	3	1	1	3	3	1	1	3	3	3	3	2	3	2	2	2	2	3	1	3	3	1	1	1	3	1	2	2	2	2	2	1	1	3	1	2	2	2	2	2	1	1	2	2	2	2	2	2	3	3	4	2	3	3	2	4	3	3	3	2	4	4	4	3	2	2	1	3	2	2	3	2	5	1	1	3	2	1	1	1	1	2	3	1	2	2	3	1	3	1	2	1	1	3	3	3	3	3	3	3	3	3	3	3	1	4	4	4	4	4	4	4	4	4	4	4	4	2	2	2	1	1	4	1	NA	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	NA	1	NA	3	1	3	3	3	3	2	2	3	3	3	3	1	1	2	3	1	3	3	3	3	2	3	2	1	1	2	1	1	1	3	3	2	3	3	3	3	3	3	3	3	2	4	2	4	5	0	0	1	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5
10	2	4	1	1	2	3	1	1	2	2	3	1	2	2	2	3	3	NA	3	3	3	3	NA	3	3	3	3	2	1	1	1	1	1	2	2	2	2	2	2	1	2	1	2	1	1	1	2	1	2	1	1	2	2	3	5	1	1	1	1	2	1	1	1	1	3	3	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	NA	2	2	1	2	2	2	1	1	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	2	2	2	1	2	1	2	NA	2	1	2	1	2	2	1	2	1	1	1	1	2	2	1	2	1	2	1	2	2	1	1	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	1	2	1	1	1	1	3	1	2	2	1	1	3	1	1	2	1	2	1	1	1	2	1	2	2	1	2	4	1	2	3	3	3	2	2	4	2	4	3	4	1	3	3	3	4	4	1	2	1	3	2	2	2	3	4	1	2	3	2	1	3	2	2	2	2	1	3	3	3	2	3	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	1	2	1	1	1	2	1	3	1	7	2	3	1	3	3	1	3	2	1	1	2	1	3	2	3	3	2	3	3	3	3	3	3	3	1	4	NA	2	7	5	0	0	1	0	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6
9	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	1	1	1	1	1	3	3	3	3	3	1	1	1	2	3	2	1	1	3	3	1	1	3	2	2	3	3	3	3	2	1	1	2	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	2	3	1	2	3	3	3	2	2	2	2	2	1	1	1	1	1	4	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	NA	2	3	2	3	2	3	2	3	2	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	1	1	1	2	1	2	1	3	3	3	2	2	1	3	3	3	3	1	1	1	3	2	2	2	2	3	3	1	1	2	1	1	2	2	1	1	2	1	2	1	1	1	2	1	1	2	1	2	1	1	1	2	1	1	2	2	2	2	1	1	2	2	3	1	2	3	1	3	3	3	2	2	3	2	2	2	2	2	1	5	1	1	3	2	3	1	2	1	2	1	1	2	2	2	1	1	2	3	3	5	2	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	NA	NA	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	2	7	4	3	3	3	3	2	3	3	1	1	3	3	3	1	1	3	1	3	3	3	3	3	3	4	1	1	5	2	3	4	0	0	1	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5
11	2	4	3	3	3	3	3	4	4	3	3	4	4	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	2	2	2	2	2	1	1	1	3	1	2	1	1	1	1	1	1	1	2	1	4	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	3	1	2	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	NA	3	1	1	3	3	3	3	1	2	3	1	3	2	1	1	1	1	1	1	1	1	1	1	1	2	3	1	3	1	1	1	2	1	2	1	2	2	3	2	2	3	2	2	3	3	3	1	3	3	2	3	2	2	2	2	3	3	3	3	3	2	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	2	1	2	2	1	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3	3	3	1	3	1	3	1	1	2	2	2	3	1	3	3	3	5	3	1	2	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	NA	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	7	4	3	3	3	3	2	3	3	3	2	2	2	3	3	3	3	2	3	3	3	3	3	3	5	3	3	5	2	7	3	0	0	1	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5
11	2	4	2	3	3	2	2	2	4	4	2	4	2	4	2	NA	NA	2	2	2	NA	NA	2	NA	2	NA	2	2	2	2	2	2	2	3	2	2	3	3	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	4	4	4	4	3	3	3	1	3	3	3	3	2	3	3	3	3	3	6	3	1	1	2	1	3	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	3	3	2	2	2	2	2	1	1	1	2	4	2	2	2	3	3	4	3	2	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	1	3	1	3	1	3	2	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	3	2	1	2	1	1	1	2	1	2	3	1	2	3	1	2	3	2	2	1	1	1	1	1	1	2	1	3	2	2	1	1	2	3	1	1	2	1	1	2	2	1	2	1	1	1	2	2	1	3	1	1	1	1	1	3	2	2	2	1	1	3	2	2	3	3	3	2	3	2	3	2	2	2	4	3	2	4	5	2	4	2	3	2	2	3	1	2	3	3	2	1	2	3	1	1	2	1	2	1	2	1	1	4	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	4	1	1	1	1	4	2	3	4	4	1	1	1	1	4	4	1	1	1	1	1	NA	3	1	2	NA	3	1	3	3	1	3	1	1	1	3	1	2	2	7	1	3	2	3	3	3	3	3	1	1	2	2	2	2	2	3	2	2	3	1	2	2	3	3	1	1	5	2	5	4	1	0	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5
7	2	4	2	3	2	3	3	3	4	4	3	4	3	4	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	1	1	1	1	1	2	2	3	3	1	1	1	2	1	2	1	1	3	2	3	1	1	2	1	4	4	4	4	3	3	3	3	2	3	3	3	3	4	3	3	3	3	4	4	3	1	1	1	1	1	1	1	1	3	1	2	2	1	3	1	1	1	3	3	1	2	2	3	3	3	2	2	2	2	2	2	2	2	2	1	4	2	3	4	4	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	3	1	2	1	2	2	3	3	2	2	1	2	1	1	1	1	1	2	2	2	1	1	2	2	2	3	1	1	1	1	1	3	1	1	2	3	2	2	3	3	1	3	1	1	3	1	3	1	1	2	3	1	1	1	2	3	2	1	1	1	1	1	2	1	2	1	1	4	3	1	1	3	1	2	1	1	1	2	2	1	2	2	1	2	1	1	3	3	2	3	3	4	1	4	5	2	2	3	3	4	5	3	4	3	1	3	2	3	2	3	5	1	2	3	3	1	1	3	2	2	1	1	3	2	2	2	1	2	2	2	3	4	4	3	3	3	3	3	3	3	3	3	2	1	4	3	4	1	2	2	4	4	4	4	2	3	2	3	1	4	1	1	1	4	4	1	1	1	1	4	2	1	4	2	2	1	2	3	5	1	NA	1	NA	1	NA	1	NA	4	3	3	1	2	2	2	1	1	2	2	3	1	3	3	3	3	3	3	3	2	2	3	1	2	2	2	2	3	3	3	3	3	3	3	5	3	1	1	2	4	5	0	0	1	0	5	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	5
